PWM (value),Thrust (N)
231,-34.5002982384
231.85,-34.3074762792
232.7,-34.262978904
233.55,-33.8625025272
234.4,-33.3730314
235.25,-32.928057648
236.1,-32.3050943952
236.95,-31.8601206432
237.8,-31.2816547656
238.65,-30.7921836384
239.5,-30.3917072616
240.35,-29.9912308848
241.2,-29.4572623824
242.05,-28.8342991296
242.9,-28.3003306272
243.75,-27.9443516256
244.6,-27.2768909976
245.45,-27.0989014968
246.3,-26.3869434936
247.15,-25.9419697416
248,-25.4524986144
248.85,-24.7850379864
249.7,-24.4290589848
250.55,-24.0730799832
251.4,-23.6281062312
252.25,-23.0496403536
253.1,-22.916148228
253.95,-22.1596928496
254.8,-21.6257243472
255.65,-21.358740096
256.5,-20.7802742184
257.35,-20.1573109656
258.2,-19.8903267144
259.05,-19.4898503376
259.9,-18.7333949592
260.75,-18.5554054584
261.6,-17.8434474552
262.45,-17.3094789528
263.3,-16.8645052008
264.15,-16.5085261992
265,-16.019055072
265.85,-15.4850865696
266.7,-15.351594444
267.55,-14.906620692
268.4,-14.5061443152
269.25,-14.1501653136
270.1,-13.7496889368
270.95,-13.4382073104
271.8,-12.9932335584
272.65,-12.5927571816
273.5,-12.1477834296
274.35,-11.7028096776
275.2,-11.4358254264
276.05,-11.0353490496
276.9,-10.679370048
277.75,-10.3233910464
278.6,-9.9674120448
279.45,-9.6559304184
280.3,-9.344448792
281.15,-8.9884697904
282,-8.676988164
282.85,-8.3210091624
283.7,-7.9205327856
284.55,-7.5200564088
285.4,-7.2530721576
286.25,-6.897093156
287.1,-6.67460628
287.95,-6.3631246536
288.8,-6.0961404024
289.65,-5.7401614008
290.5,-5.3841823992
291.35,-5.0727007728
292.2,-4.8057165216
293.05,-4.5387322704
293.9,-4.1827532688
294.75,-3.9157690176
295.6,-3.6487847664
296.45,-3.4262978904
297.3,-3.114816264
298.15,-2.8033346376
299,-2.5363503864
299.85,-2.3138635104
300.7,-2.0468792592
301.55,-1.8243923832
302.4,-1.6019055072
303.25,-1.4239160064
304.1,-1.2014291304
304.95,-0.9789422544
305.8,-0.8009527536
306.65,-0.667460628
307.5,-0.444973752
308.35,-0.3114816264
316,0
323.65,0.444973752
324.5,0.6229632528
325.35,0.8009527536
326.2,0.9789422544
327.05,1.2014291304
327.9,1.4239160064
328.75,1.7353976328
329.6,1.9578845088
330.45,2.22486876
331.3,2.5808477616
332.15,2.8478320128
333,3.2038110144
333.85,3.559790016
334.7,3.8712716424
335.55,4.1827532688
336.4,4.5387322704
337.25,4.894711272
338.1,5.2061928984
338.95,5.6511666504
339.8,6.0961404024
340.65,6.3186272784
341.5,6.7636010304
342.35,7.119580032
343.2,7.5200564088
344.05,8.0985222864
344.9,8.3210091624
345.75,8.7214855392
346.6,9.0329671656
347.45,9.4779409176
348.3,9.789422544
349.15,10.3233910464
350,10.7238674232
350.85,11.2133385504
351.7,11.791804428
352.55,12.1032860544
353.4,12.5482598064
354.25,12.9932335584
355.1,13.3937099352
355.95,13.794186312
356.8,14.3281548144
357.65,14.8176259416
358.5,15.2181023184
359.35,15.7520708208
360.2,16.1970445728
361.05,16.7755104504
361.9,17.2649815776
362.75,17.79895008
363.6,18.1549290816
364.45,18.7333949592
365.3,19.2673634616
366.15,19.6678398384
367,20.468792592
367.85,20.7802742184
368.7,21.1807505952
369.55,22.026200724
370.4,22.2486876
371.25,22.9606456032
372.1,23.806095732
372.95,24.5625511104
373.8,25.141016988
374.65,25.8529749912
375.5,26.0754618672
376.35,27.0544041216
377.2,27.2768909976
378.05,28.255833252
378.9,28.7898017544
379.75,29.368267632
380.6,29.9022361344
381.45,30.703188888
382.3,31.2816547656
383.15,31.7266285176
384,32.6165760216
384.85,32.9725550232
385.7,33.5510209008
386.55,34.262978904
387.4,34.9749369072
388.25,35.5534027848
389.1,36.1763660376
389.95,36.9773187912
390.8,37.6447794192
391.65,38.490229548
392.5,39.0686954256
393.35,39.5136691776
394.2,40.3146219312
395.05,40.7595956832
395.9,41.3380615608
396.75,42.2280090648
397.6,42.9844644432
398.45,43.38494082
399.3,44.2303909488
400.15,44.4083804496
401,44.3787155328
